Todo A La Brasa,"Avda 9 De Julio Y, Padre Arnoldo, N3334 Puerto Rico, Misiones",03743 41-3660,,https://todo-a-la-brasa.negocio.site/,-26.8190186,-55.0456961,restaurante
Sobre Gustos,"Comandante Andresito 179, N3334 Puerto Rico, Misiones",03743 49-9332,,,-26.8083222,-55.0490598,restaurante
Rotisería Los Abuelos,"Gobernador Roca 175 Barrio Culmey Casa B""18, N3334 Puerto Rico, Misiones",42-1032,,https://www.facebook.com/losabuelos.rotiseria.52,-26.8004591,-55.0484916,restaurante
Guayares Rotiseria,"Gral. Manuel Belgrano, Puerto Rico, Misiones",,Guayares Rotiseria,,-26.8073415,-55.0551802,restaurante
Puerto Padel Resto Bar,"Paraná 50, Puerto Rico, Misiones",03743 42-6313,,,-26.8097502,-55.0504202,restaurante
Restaurante Blanuch,"Puerto Rico, Misiones",03743 42-0868,,,-26.8115185,-55.0265058,restaurante
El Carrito,"Puerto Rico, Misiones",,El Carrito,,-26.8129764,-55.0454207,restaurante
Status Rotiseria,"Puerto Rico, Misiones",,,,-26.8220497,-55.052573,restaurante
Asador Criollo La Chacra,"Puerto Rico, Misiones",,,,-26.8212441,-55.0473274,restaurante
Fuegos,"Puerto Rico, Misiones",,Fuegos,,-26.8203732,-55.0511498,restaurante
Comedor Brazuca,"Puerto Rico, Misiones",03743 51-4499,Comedor Brazuca,,-26.8081409,-55.0449525,restaurante
"Parrilla ""Tío Otto""","Rn12, N3334Gra Puerto Rico, Misiones",03743 15-51-4093,"Parrilla ""Tío Otto""",,-26.8206444,-55.0483377,restaurante
